time,wx,wy,wz
0.01898789405822754,-0.15,-0.08,-0.02
0.019232749938964844,-0.15,-0.08,-0.02
0.023263931274414062,-0.12,0.01,-0.05
0.03945493698120117,-0.07,0.05,-0.06
0.041296958923339844,-0.01,0.04,-0.05
0.05195474624633789,0.04,0.01,-0.02
0.06108689308166504,0.09,-0.03,0.01
0.07178068161010742,0.11,-0.03,0.02
0.08157873153686523,0.12,-0.0,0.03
0.09167766571044922,0.1,0.03,0.02
0.1020498275756836,0.07,0.04,0.02
0.11162090301513672,0.03,0.03,0.01
0.12224483489990234,-0.0,-0.01,0.01
0.13240480422973633,-0.03,-0.03,0.0
0.1453568935394287,-0.04,-0.04,0.0
0.15129780769348145,-0.04,-0.03,0.0
0.16143274307250977,-0.02,-0.01,-0.0
0.17200899124145508,0.01,-0.0,-0.0
0.18172883987426758,0.02,0.0,-0.0
0.19224286079406738,0.03,-0.0,0.01
0.2028789520263672,0.02,-0.01,0.01
0.21191167831420898,0.01,-0.02,0.01
0.22259187698364258,-0.01,-0.01,0.01
0.2354137897491455,-0.02,0.0,0.01
0.24670791625976562,-0.03,0.02,0.01
0.250964879989624,-0.03,0.02,-0.0
0.2610917091369629,-0.02,0.01,-0.01
0.27162981033325195,-0.01,0.01,-0.01
0.281329870223999,0.0,-0.0,-0.01
0.2918698787689209,0.02,-0.01,-0.01
0.30218076705932617,0.04,-0.01,0.0
0.31125879287719727,0.04,-0.0,0.01
0.32157468795776367,0.04,0.01,0.01
0.34676384925842285,0.02,0.0,0.01
0.3471198081970215,0.02,0.0,0.01
0.3510909080505371,0.01,-0.0,0.0
0.36126184463500977,-0.0,-0.01,0.0
0.3711428642272949,-0.0,-0.01,-0.0
0.38122081756591797,-0.01,-0.01,-0.01
0.3920269012451172,-0.0,-0.0,-0.0
0.40142083168029785,-0.0,-0.0,0.0
0.4115409851074219,0.0,-0.01,0.01
0.4217507839202881,0.01,-0.01,0.01
0.4465508460998535,0.02,-0.0,0.0
0.4469168186187744,0.02,-0.0,0.0
0.450624942779541,0.02,0.01,0.0
0.46029090881347656,0.02,0.01,-0.0
0.4705839157104492,0.02,0.01,-0.0
0.4810757637023926,0.02,0.0,0.0
0.49150896072387695,0.01,0.0,-0.0
0.5006799697875977,0.01,0.0,-0.0
0.5102407932281494,0.01,0.0,-0.0
0.5210099220275879,0.01,-0.01,-0.01
0.5348658561706543,0.0,-0.01,-0.0
0.5475668907165527,0.0,-0.01,0.0
0.5503497123718262,-0.01,-0.01,0.01
0.5674886703491211,-0.01,-0.0,0.01
0.5702037811279297,-0.01,0.0,0.01
0.5804028511047363,-0.01,0.0,0.01
0.5915789604187012,-0.0,0.01,0.01
0.6016926765441895,0.0,0.0,0.0
0.6109848022460938,0.01,-0.01,0.0
0.6208009719848633,0.01,-0.01,-0.0
0.6455998420715332,0.02,-0.01,-0.0
0.6458737850189209,0.02,-0.01,-0.0
0.6504087448120117,0.02,-0.01,-0.01
0.6605198383331299,0.01,-0.0,0.0
0.6704888343811035,0.01,0.0,0.01
0.6804399490356445,0.01,0.0,0.01
0.690687894821167,0.01,0.01,0.01
0.7002878189086914,0.01,0.01,0.01
0.7104439735412598,0.01,0.01,0.0
0.7208347320556641,0.01,0.0,0.0
0.7339987754821777,0.01,-0.0,-0.0
0.7483477592468262,0.01,0.0,0.0
0.7499289512634277,0.01,0.0,-0.0
0.7596569061279297,0.01,0.01,0.0
0.7704968452453613,0.0,0.0,0.0
0.780289888381958,-0.0,0.0,0.0
0.7914667129516602,-0.01,0.01,-0.0
0.8000688552856445,-0.01,0.01,-0.0
0.8107578754425049,-0.02,0.0,-0.0
0.8209028244018555,-0.01,0.0,-0.0
0.833561897277832,-0.01,0.0,-0.0
0.8450357913970947,-0.01,0.0,-0.0
0.8499317169189453,-0.01,0.0,-0.0
0.8599987030029297,-0.0,0.0,-0.0
0.870966911315918,0.0,0.0,0.0
0.8802127838134766,0.0,0.0,0.01
0.8902168273925781,0.0,0.01,0.01
0.9009847640991211,-0.0,0.0,0.0
0.9101228713989258,-0.01,0.0,0.0
0.9209668636322021,-0.0,-0.0,-0.0
0.930607795715332,0.01,0.0,-0.0
0.9463987350463867,0.01,0.01,-0.0
0.9498138427734375,0.01,0.01,0.0
0.959749698638916,0.02,0.01,0.0
0.970146894454956,0.01,0.01,0.0
0.979522705078125,0.01,0.01,0.01
0.9893178939819336,0.01,0.02,0.01
0.9993877410888672,0.0,0.02,0.01
1.0092229843139648,-0.01,0.03,0.01
1.0192008018493652,-0.01,0.03,0.02
1.0368599891662598,-0.0,0.03,0.02
1.0391926765441895,0.0,0.04,0.03
1.049560785293579,0.01,0.05,0.02
1.0587878227233887,0.01,0.05,0.02
1.0694618225097656,0.0,0.04,0.01
1.0800957679748535,-0.01,0.03,0.01
1.090559959411621,-0.02,0.02,0.0
1.1007308959960938,-0.03,0.01,-0.0
1.1100468635559082,-0.04,-0.0,-0.0
1.1197819709777832,-0.04,-0.0,0.0
1.133955955505371,-0.03,0.01,0.01
1.1489529609680176,0.02,0.04,0.03
